,Role_name,Job_type,Location,Experience,Posted
0,Magento Developer,Full-time,Hyderabad,2 - 8 Years,3 hours ago
1,Python Developer,Full-time,Hyderabad,1 - 3 Years,9 days ago
2,Computer Vision Engineer / Machine Learning Engineer,Internship,Hyderabad,0 - 1 Years,10 days ago
3,Cloud Native Developer,Full-time,Hyderabad,2 - 5 Years,a month ago
4,Data Scientist Intern,Internship,Hyderabad,0 - 4 Years,a month ago
5,Embedded Engineer,Full-time,Hyderabad,2 - 4 Years,a month ago
6,System Engineer,Internship,Mauritius,0 - 1 Years,a month ago
7,Associate QA Engineer,Full-time,Hyderabad,1 - 3 Years,a month ago
8,Full Stack Developer,Full-time,Hyderabad,4 - 9 Years,2 months ago
9,Android Mobile Developer,Full-time,mauritius,3 - 8 Years,2 months ago
10,iOS Developer,Full-time,Hyderabad,3 - 10 Years,2 months ago
11,Associate Cloud Engineer,Full-time,Hyderabad,0 - 3 Years,2 months ago
12,Sr Full Stack Developer,Full-time,Mauritius,3 - 8 Years,2 months ago
13,Blockchain Developer,Full-time,Hyderabad,1 - 4 Years,2 months ago
14,Junior Cloud Native Developer,Full-time,Delaware,1 - 2 Years,2 months ago
15,Lead DevOps Engineer ,Full-time,Hyderabad,5 - 11 Years,2 months ago
16,Site Reliability Engineer,Full-time,New York,1 - 3 Years,2 months ago
17,OSS DevOps Engineer,Full-time,Hyderabad,6 - 12 Years,3 months ago
18,Sr SDET,Full-time,New York,3 - 10 Years,3 months ago
19,DevOps Architect,Full-time,Hyderabad,5 - 15 Years,3 months ago
20,Engineering Lead,Full-time,mauritius,7 - 18 Years,3 months ago
21,Social Media Intern,Internship,Hyderabad,0 Years,4 hours ago
22,Project Manager,Full-time,Hyderabad,2 - 5 Years,13 days ago
23,Talent Acquisition Specialist,Full-time,Hyderabad,1 - 5 Years,13 days ago
24,Sr.QA Engineer,Full-time,Hyderabad,3 - 5 Years,18 days ago
25,HR and Community Specialist,Full-time,New York,0 - 3 Years,3 months ago
26,Machine Learning Engineer,Full-time,Hyderabad,3 - 5 Years,3 months ago
